,Date,ADANIPORTS,ADANIPOWER,APOLLOHOSP,ASIANPAINT,AUROPHARMA,BAJFINANCE,BALKRISIND,BANKBARODA,BERGEPAINT,BAJAJFINSV,CENTURYTEX,CUMMINSIND,ENGINERSIN,FEDERALBNK,IDFCFIRSTB,CASTROLIND,INDUSINDBK,JINDALSTEL,MCDOWELL-N,MOTHERSUMI,MUTHOOTFIN,NATIONALUM,ICICIPRULI,PIDILITIND,RELCAPITAL,SRTRANSFIN,TORNTPOWER,AMARAJABAT,APOLLOTYRE,BAJAJ-AUTO,BHARATFORG,HEROMOTOCO,HINDUNILVR,IBULHSGFIN,MANAPPURAM,TORNTPHARM,ULTRACEMCO,BHARTIARTL,KAJARIACER,TATAMOTORS,TATAMTRDVR
21,2021-06-30,703.700012,113.449997,3619.850098,2992.699951,965.200012,6015.850098,2239.199951,85.900002,805.099976,12109.049805,615.200012,899.5,79.599998,87.099998,54.200001,143.100006,1016.349976,397.450012,661.650024,242.100006,1481.650024,78.349998,612.700012,2153.949951,24.0,1342.650024,460.100006,745.049988,225.0,4133.850098,761.900024,2902.600098,2471.300049,261.049988,168.75,2901.600098,6776.0,525.650024,979.950012,339.600006,155.199997
22,2021-07-01,703.099976,107.800003,3678.449951,3021.600098,968.049988,5967.149902,2274.899902,86.050003,809.0,11816.450195,617.650024,889.599976,78.949997,86.0,54.200001,142.25,1007.700012,394.799988,663.950012,244.800003,1470.349976,77.949997,614.349976,2169.149902,22.799999,1355.599976,458.299988,744.849976,227.850006,4204.549805,765.650024,2922.5,2478.0,260.049988,167.25,2924.199951,6707.25,522.650024,988.349976,344.25,155.850006
23,2021-07-02,710.400024,109.400002,3733.199951,3005.0,994.200012,5997.75,2298.850098,85.199997,806.900024,11750.450195,613.25,881.349976,79.099998,85.300003,54.0,142.899994,1009.650024,388.149994,662.450012,245.399994,1477.400024,79.0,619.400024,2178.850098,23.049999,1362.199951,464.649994,746.549988,227.449997,4175.350098,771.900024,2919.850098,2487.300049,260.0,173.100006,2950.350098,6719.899902,525.0,987.900024,344.899994,156.0
24,2021-07-05,710.049988,106.800003,3718.100098,3014.800049,1002.599976,6072.700195,2292.550049,86.349998,816.549988,11923.099609,650.200012,880.599976,80.550003,87.25,54.450001,146.600006,1020.549988,394.149994,660.849976,242.949997,1558.599976,81.449997,621.25,2267.149902,21.9,1374.550049,468.899994,749.75,228.800003,4201.5,770.900024,2938.050049,2499.050049,272.399994,176.649994,2938.850098,6719.850098,523.950012,974.150024,346.100006,156.25
25,2021-07-06,712.700012,111.900002,3706.25,3002.5,980.400024,6202.399902,2303.25,85.5,814.099976,12090.799805,695.049988,869.349976,79.199997,86.900002,53.599998,147.399994,1031.050049,391.0,656.849976,237.149994,1535.199951,80.050003,627.099976,2231.199951,20.85,1413.650024,467.25,744.200012,229.949997,4195.399902,767.349976,2919.25,2472.5,262.25,176.449997,2931.899902,6933.049805,526.099976,980.849976,316.899994,147.949997
26,2021-07-07,720.099976,109.800003,3715.600098,3040.100098,965.200012,6198.600098,2291.300049,86.050003,846.150024,12374.150391,687.5,866.950012,78.849998,86.300003,53.950001,146.550003,1044.900024,400.200012,663.849976,235.300003,1561.949951,84.949997,628.049988,2276.5,19.85,1444.349976,470.450012,738.349976,231.100006,4188.25,806.299988,2913.350098,2481.649902,262.950012,177.300003,2949.550049,6925.100098,529.599976,986.549988,317.100006,145.5
27,2021-07-08,711.700012,108.75,3671.399902,3028.300049,951.75,6117.799805,2292.600098,83.5,841.650024,12333.900391,669.5,867.450012,79.800003,86.050003,53.200001,145.649994,1045.449951,386.549988,656.900024,232.050003,1533.25,83.199997,621.099976,2283.449951,20.25,1431.550049,471.25,738.450012,226.899994,4077.300049,808.950012,2900.399902,2447.550049,261.649994,174.5,2945.5,6901.899902,525.299988,983.75,306.350006,140.800003
28,2021-07-09,728.5,109.550003,3725.899902,3010.600098,948.700012,6136.149902,2280.199951,83.650002,844.099976,12854.75,676.5,862.0,79.199997,85.599998,53.75,144.300003,1039.949951,394.75,655.25,236.350006,1534.599976,85.349998,613.349976,2277.800049,21.25,1455.699951,475.200012,739.700012,228.199997,3995.899902,808.0,2896.800049,2451.449951,269.450012,177.600006,3005.050049,6899.549805,536.25,996.400024,306.299988,142.399994
29,2021-07-12,718.049988,108.199997,3747.399902,2999.399902,940.700012,6149.549805,2308.899902,83.300003,839.650024,12908.900391,714.549988,856.75,79.150002,89.5,54.0,142.399994,1049.300049,392.850006,660.25,238.550003,1558.400024,84.349998,625.5,2268.850098,21.25,1452.400024,476.5,738.450012,229.800003,3956.149902,806.25,2898.199951,2444.149902,270.850006,183.75,3012.699951,7093.75,529.650024,987.049988,307.450012,141.399994
30,2021-07-13,704.0,106.75,3750.300049,2993.850098,956.950012,6154.299805,2306.25,84.699997,837.650024,12909.400391,707.450012,862.049988,77.949997,89.25,54.0,143.850006,1055.900024,395.0,651.299988,244.5,1558.75,85.300003,626.25,2248.5,20.299999,1431.800049,474.649994,737.950012,235.75,3966.100098,820.25,2904.100098,2436.699951,279.25,185.050003,3015.449951,7128.850098,530.049988,990.700012,310.950012,145.199997
